entity,Pool_DDA_R1,Pool_DDA_R2,Pool_DDA_R3,Pool_DDA_R4,Pool_DDA_R5,Pool_DDA_R6,Pool_DDA_R7,Pool_DDA_R8
A0A075B6H7,1,0,1,1,0,0,0,0
A0A075B6K5,11,8,8,11,13,13,12,13
A0A075B6P5,14,13,12,13,12,10,13,13
A0A075B6S5,3,4,4,4,6,4,2,5
A0A0A0MRZ8,5,5,5,6,5,4,7,5
A0A0B4J1V0,3,5,1,2,3,2,2,2
A0A0B4J1Y9,0,1,4,1,0,2,1,3
A0A0C4DH25,1,0,0,0,0,0,0,0
A0A0C4DH29,14,16,9,16,10,14,15,13
A0A0C4DH35,2,5,4,4,3,1,3,3
A0A0C4DH38,3,5,4,4,4,3,4,6
A0A0C4DH41,6,4,8,7,9,4,8,9
A0A0J9YX35,0,1,0,0,0,1,0,1
A6NEC2,0,0,0,0,0,1,0,0
B9A064,29,35,31,32,31,37,36,32
O00299,8,10,8,9,6,8,3,7
O00584,0,1,1,0,1,0,0,1
O00764,0,0,1,0,0,0,0,0
O14950,2,1,1,1,0,1,0,2
O43150,1,0,1,0,1,0,0,0
O43707,8,8,11,12,10,7,11,8
O60814,8,11,10,12,13,9,11,10
O75083,1,0,0,0,1,2,0,1
O75363,0,0,0,0,0,1,0,0
O75368,0,0,0,0,0,1,1,0
O75556,483,564,564,555,529,563,558,551
O75828,2,1,1,1,2,1,1,0
O75874,2,1,3,2,1,1,0,2
O95336,0,0,0,0,0,0,0,1
O95886,0,0,1,1,1,0,1,0
O95968,99,106,88,88,102,103,91,106
O95994,0,0,0,1,0,0,0,1
P00326,3,6,2,4,2,2,4,1
P00338,9,11,14,16,16,17,17,17
P00352,40,40,39,39,44,44,39,37
P00390,2,2,1,1,0,5,2,4
P00450,56,60,76,72,68,58,64,71
P00558,11,12,13,13,12,9,13,14
P00734,1,2,3,2,2,3,3,0
P00738,74,73,79,80,71,77,77,79
P00747,5,4,3,5,4,7,5,4
P00751,12,9,8,12,15,14,7,11
P00966,1,2,2,2,3,1,3,1
P01008,4,5,7,8,4,5,6,7
P01009,71,82,87,81,78,78,76,76
P01011,17,16,14,15,13,11,15,18
P01019,0,0,1,0,1,0,1,0
P01023,17,20,18,25,22,19,24,20
P01024,108,123,118,131,101,112,98,108
P01034,11,12,9,10,9,8,11,9
P01036,352,368,389,367,367,363,367,371
P01037,17,20,20,22,18,23,21,17
P01042,1,3,4,3,2,1,6,3
P01591,171,158,184,176,153,176,169,170
P01593,3,3,5,3,2,3,3,3
P01619,24,23,25,18,19,21,23,22
P01624,2,7,3,4,4,7,5,4
P01700,8,8,8,8,8,6,7,8
P01721,1,2,2,0,0,1,0,1
P01764,8,4,4,8,4,10,4,3
P01766,0,0,0,1,1,0,0,0
P01780,4,8,6,6,5,4,6,7
P01782,9,12,14,11,11,10,13,16
P01833,531,597,591,572,567,564,568,555
P01834,255,291,269,277,273,270,272,247
P01859,63,70,75,72,70,64,59,66
P01860,11,14,13,15,14,9,11,12
P01861,5,4,6,6,5,3,5,3
P01871,75,85,82,78,80,82,81,77
P01876,1001,1036,1051,1029,1037,1006,1037,1037
P02533,41,31,28,32,30,34,29,34
P02538,34,45,49,45,44,36,41,53
P02545,3,3,3,1,4,4,3,2
P02647,38,41,51,45,46,50,41,41
P02652,19,16,15,19,20,18,14,18
P02656,3,3,2,5,3,3,3,4
P02671,12,9,16,14,12,10,12,12
P02675,22,27,28,28,32,20,32,22
P02679,15,19,20,23,23,21,19,24
P02747,0,0,0,0,0,1,0,1
P02749,9,11,16,15,11,8,7,11
P02750,1,1,0,0,0,0,1,2
P02760,1,0,0,1,2,1,2,2
P02763,11,11,12,20,11,14,11,12
P02765,3,7,5,6,4,7,5,2
P02766,1,1,0,1,0,3,1,1
P02768,2326,2448,2542,2513,2459,2503,2438,2453
P02774,25,33,29,29,26,27,32,29
P02787,183,195,197,185,181,186,184,182
P02788,4784,4977,5038,4993,4800,4791,4841,4874
P02790,48,47,42,52,45,43,49,52
P02814,16,16,14,12,15,17,15,14
P03973,31,35,32,36,30,32,36,31
P04003,2,0,0,2,2,1,1,0
P04004,4,5,6,3,5,5,5,7
P04075,20,13,14,14,19,15,20,23
P04080,6,9,12,9,8,7,7,15
P04083,94,98,109,106,105,102,104,94
P04114,0,1,0,1,0,0,0,0
P04155,0,1,0,0,0,0,0,0
P04217,0,0,2,0,0,1,0,0
P04264,141,155,150,152,142,143,148,140
P04406,32,41,35,33,33,33,33,34
P04632,4,3,4,4,4,5,4,8
P04746,0,0,0,0,1,0,0,0
P04792,44,54,59,55,51,57,50,51
P04844,1,0,0,0,0,0,0,0
P04908,9,11,11,14,11,10,10,14
P05023,1,1,2,2,1,1,2,0
P05090,9,8,11,9,12,5,10,7
P05109,3,4,4,6,3,3,4,4
P05155,2,3,5,5,6,5,5,5
P05164,1,0,0,1,0,0,0,0
P05387,0,0,1,2,0,0,1,1
P05783,1,0,0,0,1,0,0,0
P05787,3,3,3,3,5,5,6,2
P06312,5,7,6,7,7,8,6,9
P06396,34,33,31,34,27,29,36,31
P06702,21,24,24,25,27,23,26,24
P06727,1,4,3,4,4,2,5,3
P06733,68,78,87,77,76,79,75,76
P06744,4,4,1,2,2,3,2,3
P07195,1,1,1,0,0,1,0,1
P07237,2,2,1,0,1,2,4,2
P07339,3,4,5,5,4,2,5,6
P07355,42,49,49,43,45,42,45,44
P07384,6,6,8,4,8,6,9,5
P07602,3,2,4,5,1,3,7,4
P07737,9,8,6,6,6,8,9,8
